300 1800
3 146 65
19 252 16
235 219 14
235 228 59
40 135 1
47 12 15
157 33 81
50 17 65
34 30 4
15 160 91
205 208 6
20 25 2
178 106 56
172 237 66
144 158 80
149 76 62
169 167 35
28 52 6
56 220 20
45 146 -5
226 113 9
239 290 63
189 12 81
224 119 -4
169 10 22
182 121 17
244 95 73
126 113 -2
179 100 14
128 28 -3
223 236 16
139 55 1
138 140 1
141 76 -1
151 77 19
9 35 23
116 169 2
293 98 50
70 197 0
240 205 65
267 224 -1
217 226 28
289 83 90
54 163 36
236 33 44
177 193 76
233 197 33
275 16 38
25 240 56
158 240 18
54 233 58
113 168 37
283 255 94
170 115 8
129 58 47
23 100 56
208 41 59
287 239 55
185 296 -3
163 43 38
270 147 49
188 128 72
287 69 17
249 229 33
199 44 33
286 288 -2
35 136 58
19 4 63
166 177 67
219 173 19
70 33 91
219 152 48
108 161 92
4 53 66
94 208 22
39 237 11
257 132 5
137 218 58
103 111 73
45 256 20
141 139 88
240 53 33
148 231 66
213 58 91
140 178 33
128 145 83
200 112 63
58 61 -1
213 248 67
289 182 59
69 299 85
250 298 2
242 232 89
89 87 -5
68 290 83
108 220 67
269 29 4
139 64 29
135 138 78
71 296 26
243 276 45
180 44 82
139 233 70
142 22 27
13 128 69
160 165 3
65 283 88
59 103 45
199 85 66
238 96 92
115 83 74
232 41 -2
91 291 47
119 67 50
99 269 34
208 56 45
279 33 18
160 278 49
21 189 25
206 269 33
76 42 65
96 50 16
243 205 21
19 54 71
49 55 74
238 98 75
283 259 62
37 298 40
258 33 72
268 155 66
15 79 9
169 183 79
153 273 2
171 293 81
192 291 45
251 279 20
116 241 -5
3 180 71
110 90 31
212 219 52
284 143 61
181 62 45
282 225 80
137 257 70
282 296 61
2 52 23
109 43 2
16 134 82
187 284 -3
203 255 15
42 7 39
134 112 52
128 35 31
89 269 19
111 58 14
275 140 67
100 190 88
242 53 46
189 184 41
55 144 4
202 195 78
142 8 94
94 150 11
50 216 18
107 98 89
284 131 53
269 282 32
207 242 87
28 48 82
241 283 61
261 263 42
47 125 74
152 163 31
86 199 16
242 28 -1
208 143 91
90 93 0
194 240 1
246 126 18
138 207 33
90 76 36
155 97 -4
24 29 10
53 186 2
159 210 -2
55 75 52
148 16 43
136 88 9
5 37 94
87 162 15
246 43 91
182 248 2
220 118 56
232 82 21
240 282 41
175 114 27
98 42 1
202 125 78
228 233 62
9 103 80
61 60 21
65 109 26
198 116 48
52 283 -5
41 169 13
139 258 38
64 75 49
163 21 6
50 230 77
56 275 28
144 78 91
292 103 70
245 104 46
278 294 56
103 250 71
75 32 13
157 269 39
217 138 10
161 122 0
17 72 -3
241 61 78
239 292 33
96 145 54
92 79 68
141 284 47
225 290 10
101 10 22
47 67 72
231 43 0
217 228 27
97 219 3
130 184 31
152 121 60
68 228 12
218 232 64
32 98 84
215 110 6
56 278 51
208 191 36
74 103 53
50 204 73
199 37 71
19 160 46
241 82 94
283 267 54
60 38 -2
242 47 31
84 208 39
67 60 94
95 187 84
277 182 50
67 206 90
160 230 55
129 115 68
248 274 33
299 52 80
112 240 94
209 121 59
35 258 6
201 262 17
127 29 44
135 114 64
226 92 84
203 93 3
103 107 84
218 89 -2
267 143 21
154 269 41
234 179 9
61 224 48
283 186 64
149 87 42
1 140 55
234 24 71
217 124 33
266 285 37
104 6 40
216 75 45
127 94 46
284 163 -5
121 72 65
54 294 70
215 65 3
126 274 17
68 14 12
160 150 4
169 144 83
227 125 17
58 112 28
46 295 12
238 234 8
69 240 14
91 45 93
247 208 -5
271 255 19
51 200 12
119 249 68
13 298 94
173 120 54
75 173 25
169 14 50
199 112 75
224 253 30
16 24 51
59 273 46
86 165 92
291 290 32
249 265 3
106 250 72
52 145 70
7 77 77
239 246 64
26 194 53
71 179 19
85 112 89
118 254 37
103 42 41
235 260 8
134 246 66
168 147 28
146 45 80
36 129 87
122 38 42
250 55 61
34 237 51
279 222 69
297 145 -5
156 149 27
40 58 30
15 54 40
53 92 40
44 293 86
270 177 7
96 187 -4
37 245 8
279 147 64
1 241 70
16 251 51
4 13 24
51 153 10
58 33 0
43 150 23
162 177 30
297 160 92
78 18 73
86 100 36
40 83 48
188 240 37
138 218 53
199 287 60
282 213 79
207 201 -1
101 86 -1
271 289 57
278 228 63
29 94 94
94 293 47
228 48 61
104 201 88
254 168 39
50 275 19
193 223 52
121 5 21
153 260 7
27 278 33
125 281 42
75 108 18
101 294 42
160 51 35
282 101 91
294 234 53
162 291 4
288 269 82
184 277 21
137 205 65
298 175 79
105 123 -2
290 144 -2
292 158 54
148 203 84
174 40 -1
52 227 84
141 263 85
93 225 19
62 68 2
58 297 82
82 114 28
254 29 68
145 109 47
236 175 52
109 293 58
281 78 45
50 112 7
236 38 6
16 77 56
244 175 82
266 123 6
42 299 90
146 49 44
136 299 37
286 264 66
31 93 28
95 76 40
200 295 46
123 72 7
284 38 24
271 119 44
147 274 58
256 246 23
149 105 20
113 226 37
148 184 77
291 175 63
114 153 87
130 245 1
292 53 22
185 91 76
11 275 54
130 287 7
288 9 81
244 2 12
210 206 89
204 223 13
238 145 72
262 12 77
46 23 10
130 284 -2
35 17 57
47 51 -1
229 288 75
128 295 18
216 141 83
173 88 26
70 65 6
77 163 24
121 214 84
237 289 43
106 190 11
37 245 25
190 168 93
242 175 9
297 117 41
3 118 16
262 270 21
297 90 41
234 52 74
286 235 19
54 219 0
295 51 22
24 200 5
98 176 82
276 234 19
219 90 47
283 293 17
280 117 -4
112 46 4
173 285 9
144 189 93
155 105 73
299 154 49
8 106 73
260 292 82
144 0 23
223 15 23
33 235 41
120 94 -2
102 232 53
239 3 27
70 68 43
16 47 8
123 29 38
231 235 80
184 40 84
140 34 22
228 174 5
286 283 79
174 132 63
29 292 68
232 106 28
81 155 -2
84 202 79
128 278 23
62 186 86
53 85 66
191 38 55
97 106 44
177 130 28
195 112 15
153 6 80
82 183 31
296 123 74
192 163 23
131 271 14
40 252 17
129 114 50
7 136 27
57 298 58
199 117 50
68 264 26
261 213 5
118 221 91
193 264 84
66 99 89
176 108 68
19 124 84
263 118 87
96 173 83
108 126 45
268 126 61
88 177 90
269 64 17
227 41 15
153 49 69
286 223 7
151 253 16
239 140 31
255 68 47
15 33 55
30 70 2
218 173 83
7 11 75
113 270 57
177 4 35
238 33 24
25 17 45
39 132 33
234 158 23
99 48 14
118 106 -3
89 261 25
288 224 20
135 207 60
232 246 33
18 296 9
275 156 12
49 284 74
47 214 35
241 247 4
104 43 41
13 74 48
260 83 88
205 164 3
221 180 61
92 210 76
206 58 35
3 71 85
8 238 46
159 74 16
197 55 63
183 38 25
275 195 77
231 166 22
283 277 86
138 8 37
139 50 15
153 294 5
274 186 43
147 206 -1
131 282 56
100 232 25
97 265 76
140 28 14
101 89 49
84 268 86
260 282 34
188 184 87
228 16 19
253 87 9
70 171 50
51 61 34
76 160 6
81 19 77
198 208 24
295 226 89
254 42 7
247 156 11
26 103 -1
243 227 48
248 44 93
293 36 29
283 90 27
14 284 14
178 2 31
241 210 8
50 3 0
233 266 12
268 204 35
21 150 84
212 243 24
217 159 32
59 138 39
112 96 74
69 171 64
16 133 41
71 217 73
294 226 -2
3 212 21
19 112 38
143 248 66
148 25 70
3 249 -3
274 228 1
93 287 8
192 197 42
146 71 57
188 158 3
97 87 33
8 125 61
101 184 18
290 119 90
40 181 28
49 245 38
103 186 24
143 152 66
233 249 26
148 110 59
283 44 76
226 30 13
39 19 50
58 173 71
146 235 65
20 169 42
251 270 31
138 17 49
235 211 89
289 132 41
83 132 -5
31 78 19
222 236 54
50 39 46
265 122 9
122 199 69
188 165 76
145 268 43
197 133 76
294 127 21
240 256 20
265 297 68
13 90 86
96 101 61
44 243 71
204 264 15
119 63 36
35 63 68
39 158 37
71 78 -3
45 230 7
261 32 65
103 65 -3
178 221 44
33 67 5
63 170 65
75 23 12
113 196 77
11 254 20
159 190 16
154 15 66
299 249 82
192 115 84
257 164 36
43 103 13
218 230 14
290 268 0
113 191 81
69 198 -5
140 277 86
18 97 -3
114 38 53
296 93 84
29 59 93
256 118 54
78 250 77
114 299 28
261 8 15
128 70 12
155 8 58
25 51 50
250 217 18
138 44 39
136 55 15
37 103 16
275 299 83
292 92 73
226 95 72
174 209 63
23 144 6
198 231 36
19 50 22
42 186 -2
3 278 81
118 236 -3
84 95 31
260 220 85
68 29 29
141 252 45
216 116 54
78 266 90
244 191 39
233 172 73
74 160 74
229 170 40
223 56 63
133 250 66
170 19 59
280 24 61
28 168 -3
247 218 84
193 141 70
0 248 22
93 264 46
158 125 54
111 1 65
152 126 38
12 227 -3
105 126 41
253 55 -2
84 27 16
27 0 66
287 66 63
85 189 20
175 233 10
48 258 16
129 153 6
21 91 35
108 88 59
14 104 59
81 191 70
163 156 45
268 109 65
27 47 4
47 264 36
239 162 18
29 169 88
289 241 21
39 24 1
104 148 33
265 22 -3
61 79 21
146 103 63
38 3 10
73 218 74
275 187 61
214 181 51
29 98 8
97 184 48
73 78 26
158 104 25
130 235 59
218 129 -2
207 102 73
120 230 73
43 191 24
136 233 84
59 164 45
259 141 63
232 38 61
178 107 29
295 219 4
288 70 30
94 33 60
267 186 85
219 263 22
223 278 41
120 273 -4
55 128 8
282 102 21
182 197 91
77 290 46
27 199 12
185 254 41
23 225 81
18 117 22
35 228 9
263 234 64
68 279 34
280 190 34
182 285 4
16 211 68
121 53 75
159 157 89
111 234 69
156 145 56
233 163 17
201 92 57
111 73 3
32 239 27
117 148 92
149 203 -5
162 279 67
248 291 72
258 185 14
144 104 64
61 208 20
16 60 88
22 113 29
3 286 8
131 13 27
158 235 90
91 93 87
152 69 63
135 42 66
34 68 64
217 260 68
187 19 76
181 46 66
228 83 -4
182 142 18
264 191 -2
231 203 82
62 278 1
147 57 57
78 3 23
0 166 51
121 298 11
50 149 92
135 200 32
250 103 39
231 15 34
222 269 13
56 57 68
125 22 26
132 281 63
59 216 49
265 213 0
48 198 12
131 29 19
260 26 37
270 132 15
239 92 77
240 28 70
291 80 69
53 29 -1
43 273 31
62 14 15
97 87 90
123 193 59
115 61 58
298 171 40
126 124 35
25 3 41
180 43 86
200 156 56
267 85 72
224 136 49
116 97 -2
175 174 86
283 160 40
238 166 77
83 1 72
40 181 -1
192 257 94
164 23 79
55 259 86
100 39 81
72 215 28
130 63 44
70 179 28
14 254 78
168 148 87
270 227 19
250 131 28
188 84 -1
281 234 26
68 217 83
112 146 59
3 123 44
234 18 37
263 48 54
126 184 81
158 34 78
226 276 66
156 222 35
233 120 9
204 8 37
131 109 0
41 220 67
204 68 15
9 87 9
4 160 -3
229 283 87
47 20 11
279 184 73
20 139 7
135 270 -2
94 255 43
191 82 33
192 30 93
262 71 34
137 88 0
59 68 73
268 152 60
202 15 21
229 220 30
247 121 74
197 299 73
297 181 30
154 110 35
203 199 81
89 114 86
106 7 31
174 167 66
132 169 8
12 81 26
252 266 87
281 288 65
51 91 93
148 96 77
32 263 20
210 158 89
96 46 91
226 89 38
76 171 22
78 188 18
68 161 12
185 56 19
275 211 92
184 249 44
234 82 92
175 166 47
109 189 11
294 21 8
272 22 36
145 125 84
148 292 66
138 31 16
137 290 82
147 279 14
49 87 93
117 8 5
28 187 -2
218 251 77
110 14 9
214 174 38
235 249 7
111 145 -1
229 293 17
174 61 0
66 176 15
154 162 91
66 245 2
237 43 33
84 35 45
195 119 71
175 69 43
132 121 35
91 99 16
93 180 52
145 251 17
299 17 55
107 47 88
253 284 14
240 147 72
202 206 73
201 109 69
132 40 13
143 145 92
110 6 4
10 134 54
58 187 18
137 12 72
134 104 75
182 254 8
32 91 32
209 53 81
222 134 63
33 40 62
171 199 55
195 223 21
108 26 94
43 52 11
48 75 14
71 17 9
208 272 87
218 60 88
94 205 66
82 15 52
242 298 71
142 235 4
173 17 83
72 69 -5
103 233 89
25 32 -3
32 29 -4
237 105 17
86 50 29
136 44 44
201 105 8
250 146 52
79 223 7
47 206 72
184 230 47
219 274 77
162 117 72
149 5 -4
146 174 59
196 69 41
46 191 65
244 108 80
163 48 63
189 259 22
169 161 -5
233 287 -2
190 243 74
216 103 -2
124 263 35
195 1 50
170 16 2
173 43 43
208 269 18
259 118 63
134 149 57
144 220 84
72 204 35
39 247 5
224 124 13
16 93 56
134 71 21
124 193 6
79 74 80
159 92 73
145 232 4
31 136 5
93 34 57
167 19 58
165 41 17
167 267 66
16 111 38
92 14 42
262 295 1
22 154 66
80 25 28
283 185 42
176 139 6
201 151 -2
79 267 21
79 5 51
99 288 92
134 27 44
51 182 58
71 148 46
3 177 32
161 18 58
1 170 4
98 130 76
162 28 -4
3 141 93
183 155 85
92 293 48
70 132 39
48 17 86
134 34 60
41 93 52
176 112 4
247 152 52
222 190 58
275 272 25
83 68 -3
84 176 61
251 82 0
19 43 76
106 30 82
242 40 26
32 65 6
269 218 -2
296 142 21
8 3 26
112 121 82
150 83 47
54 83 46
82 80 6
142 277 55
16 51 43
287 174 11
297 120 29
82 210 9
38 39 22
96 157 41
275 94 44
158 257 81
182 153 39
18 205 66
244 54 81
55 96 -3
224 171 24
189 12 46
131 17 20
5 231 38
143 168 85
176 283 50
13 77 6
186 22 31
135 46 2
43 247 53
190 83 78
290 37 22
166 73 94
250 144 91
153 36 71
176 287 7
177 189 42
31 79 32
281 193 45
17 260 8
164 280 44
43 193 -4
70 186 64
222 50 56
121 83 42
211 6 49
85 158 81
290 207 24
113 174 11
266 106 41
121 127 47
10 178 -1
204 244 1
47 188 -5
63 109 -5
159 283 31
177 116 -3
51 164 91
165 253 33
226 165 81
91 6 44
220 99 61
268 174 40
2 239 3
135 190 78
70 7 -1
288 131 32
84 27 58
226 40 5
16 53 2
201 218 12
25 48 -3
50 226 51
221 256 63
156 46 6
81 206 64
101 234 13
201 51 12
291 241 58
285 248 38
230 219 70
149 207 54
238 156 43
246 142 86
165 2 36
174 183 51
215 242 53
157 138 67
203 96 94
149 197 8
33 164 53
74 29 91
239 275 18
50 106 -1
153 87 35
112 23 93
83 107 46
52 217 11
174 149 3
83 3 35
22 266 3
101 69 42
64 110 14
11 156 27
143 210 89
83 25 81
184 252 27
194 202 23
128 80 15
149 42 51
10 86 55
169 285 -1
197 165 14
180 241 56
268 289 70
255 41 58
68 163 85
82 134 -3
175 185 76
21 162 65
61 19 4
170 241 36
76 175 27
67 127 65
215 141 30
119 187 79
286 116 56
32 111 25
244 125 78
103 25 -2
30 106 69
266 92 20
34 64 64
296 46 33
8 31 61
5 216 16
62 227 55
165 31 20
169 138 -3
250 213 15
28 29 94
299 77 46
135 294 34
284 293 32
254 140 41
243 122 2
126 223 76
186 71 66
108 194 70
208 260 29
111 61 69
136 210 30
41 241 84
206 244 33
187 40 31
196 216 50
215 88 13
37 91 28
209 90 13
178 145 6
7 215 50
125 95 67
109 264 93
17 222 23
253 6 65
255 57 13
230 187 12
52 225 26
284 70 15
213 214 61
56 262 74
164 185 33
103 277 45
80 141 88
20 213 88
232 296 12
0 19 81
266 248 54
244 193 44
243 48 48
244 274 69
259 95 80
274 40 33
55 259 72
5 247 32
252 26 34
256 281 16
30 86 67
160 69 69
3 81 18
199 137 36
138 145 56
263 103 53
84 288 24
274 93 89
139 5 89
295 292 38
185 197 70
118 131 91
149 211 -3
225 186 6
93 203 21
64 240 43
132 9 80
8 120 81
106 217 78
158 239 18
255 283 63
152 199 35
284 134 71
47 164 3
269 112 18
46 193 94
139 137 1
258 184 11
128 147 49
105 209 88
142 7 67
246 234 68
236 234 53
88 162 57
22 123 62
28 76 7
276 186 79
246 277 61
185 294 -4
262 4 74
288 257 86
152 263 29
267 160 51
268 14 3
162 180 43
293 248 60
103 272 70
1 154 27
120 200 74
4 246 56
104 58 67
168 47 43
207 157 62
65 43 79
115 284 65
222 126 77
141 67 68
250 166 28
9 298 62
161 258 71
105 182 80
43 82 14
150 200 36
86 17 56
231 60 29
297 236 46
233 159 44
179 145 40
116 176 28
149 154 40
67 187 83
120 237 31
77 6 -2
296 93 61
219 48 49
136 150 22
273 147 66
71 12 32
297 123 14
168 122 87
121 68 73
189 284 21
91 72 32
140 254 23
231 151 31
188 139 57
73 250 36
54 5 45
250 77 40
94 133 87
244 83 44
237 214 53
56 111 62
208 195 41
225 40 81
26 72 -5
299 272 18
58 115 -1
188 73 79
98 250 14
295 192 90
239 137 16
16 50 57
8 193 -2
137 228 64
243 75 27
267 253 92
70 261 90
232 221 53
195 193 68
279 18 75
141 227 7
126 223 62
33 48 1
85 270 37
29 37 50
54 60 0
125 289 76
258 37 19
102 21 -4
69 38 32
67 194 16
260 200 1
188 136 49
263 154 26
167 35 61
126 106 42
194 3 31
291 253 74
135 275 72
147 162 35
140 128 81
11 14 33
233 115 31
286 267 30
115 7 48
101 242 14
266 202 37
63 8 34
138 0 30
109 240 -3
223 131 7
43 251 31
138 153 58
40 66 69
18 219 43
89 37 92
98 29 28
14 204 -3
128 58 58
28 227 76
22 4 46
69 265 41
34 16 62
209 145 33
179 295 44
168 151 48
294 7 29
11 108 91
121 196 32
219 133 31
25 165 66
159 46 57
192 263 38
189 184 73
83 272 94
42 58 69
272 7 16
141 118 54
128 136 62
193 97 78
36 211 54
295 175 64
121 219 40
219 21 4
261 113 49
62 281 25
286 261 68
271 13 44
229 289 58
22 248 52
260 201 54
137 6 86
11 168 50
195 184 47
254 273 82
80 293 -1
26 284 48
221 175 36
26 198 67
166 254 52
187 221 -4
112 175 59
242 51 60
87 257 37
276 158 67
233 212 35
169 107 49
20 219 -4
63 245 8
284 26 36
96 130 7
163 16 10
