300 1800
203 178 8
73 280 -1
125 76 61
175 275 88
282 6 53
137 160 36
160 150 44
217 5 54
82 53 -4
235 197 52
223 233 71
262 141 9
252 49 32
120 297 93
139 208 38
247 34 91
238 125 44
128 183 38
142 70 73
6 85 75
132 178 -1
90 38 30
96 161 28
178 284 3
174 287 72
113 290 63
77 112 65
117 122 -4
168 40 19
183 245 58
43 98 15
16 182 65
73 201 31
246 243 78
165 296 40
101 115 40
287 118 47
93 129 70
123 169 11
126 174 94
109 164 81
237 76 33
210 32 48
173 219 18
243 155 48
223 29 61
64 35 70
80 182 30
259 185 51
85 8 24
196 156 63
166 125 47
128 46 22
198 278 0
59 86 15
179 239 34
20 197 90
196 5 10
31 238 86
161 41 76
95 55 58
235 98 58
150 67 52
237 146 82
255 239 13
291 190 46
244 267 47
19 102 30
185 103 43
33 114 60
230 215 37
94 195 63
241 281 71
126 197 82
251 111 76
286 143 72
26 14 11
130 250 25
108 40 18
99 181 33
64 212 78
153 255 69
119 251 62
3 135 13
31 151 48
29 72 85
69 148 46
145 14 44
98 76 24
280 224 7
225 31 36
195 173 34
96 113 7
216 2 48
91 107 47
94 72 25
156 36 53
157 213 59
38 109 26
203 121 5
91 230 36
222 161 91
166 52 20
149 257 61
111 120 94
8 298 42
157 255 55
154 121 34
172 218 56
296 115 56
175 287 23
116 288 16
299 217 30
272 180 21
99 159 0
158 281 8
152 183 83
110 294 -3
218 2 64
100 183 50
140 169 68
250 104 62
51 9 -5
64 196 50
229 273 49
191 97 55
167 190 69
20 216 51
51 236 78
107 57 38
118 135 42
154 251 1
131 18 61
276 195 61
231 181 77
0 106 3
148 40 80
284 263 56
97 123 88
157 29 9
15 222 40
231 76 13
115 254 78
291 40 78
13 259 64
178 289 35
92 109 18
265 23 10
20 36 8
238 68 3
165 119 87
31 296 9
282 97 80
280 128 76
23 289 81
96 223 10
253 143 56
18 70 58
298 166 9
137 164 30
292 113 93
256 40 -3
106 90 18
27 101 32
241 58 18
113 207 1
116 263 10
264 63 25
65 270 36
18 168 54
110 116 56
224 225 82
172 161 56
140 30 19
72 276 39
34 199 87
74 87 20
90 111 60
279 155 47
190 277 12
84 223 41
266 24 92
201 208 3
193 243 83
79 148 17
225 227 21
233 294 64
61 213 28
76 246 60
87 156 78
113 157 78
184 2 64
56 100 57
97 216 12
158 253 69
64 230 68
90 78 3
50 163 89
181 246 6
120 289 18
140 150 17
33 296 70
196 4 4
229 141 71
23 126 67
17 219 41
104 195 41
169 287 73
48 292 79
155 71 70
38 211 38
73 75 41
44 239 49
104 71 23
109 108 65
299 114 25
283 231 32
55 87 78
103 268 39
85 258 23
153 182 21
94 100 72
260 239 22
193 46 36
198 45 33
246 120 17
220 125 15
275 100 76
197 26 72
281 143 26
232 35 28
258 12 77
244 234 73
140 204 36
89 23 89
180 261 68
234 287 58
177 180 77
273 70 54
127 7 40
13 237 80
154 39 29
271 113 39
36 244 72
84 94 90
262 88 56
238 297 -5
255 36 59
166 5 52
177 34 -1
254 263 -2
174 126 79
66 183 32
19 233 19
130 155 46
68 256 4
30 132 66
238 250 72
82 236 85
170 123 73
141 281 65
73 104 63
258 126 90
84 72 45
205 64 64
145 52 75
236 266 49
198 291 60
11 2 7
162 72 13
0 210 57
129 291 12
0 238 72
179 93 25
77 13 53
201 189 90
132 98 -2
145 107 6
124 240 25
266 58 32
18 91 87
90 89 11
72 39 6
172 11 12
136 292 22
75 4 56
209 59 24
269 24 28
266 137 21
220 148 18
288 63 39
28 24 71
160 99 16
145 165 1
254 195 58
5 141 11
283 129 75
104 37 92
243 45 52
29 216 67
129 217 30
212 198 67
210 26 66
291 6 81
35 52 72
270 82 11
207 221 35
209 255 27
247 161 41
225 275 56
144 156 87
170 52 18
154 74 66
285 170 62
205 143 64
257 250 18
162 221 15
279 165 5
98 275 38
187 86 30
54 196 48
87 293 94
91 292 81
103 22 59
176 129 46
35 279 -4
152 46 89
132 281 87
204 80 37
104 132 28
95 97 91
103 123 9
274 297 -5
203 208 21
131 284 80
239 276 32
13 165 71
6 235 20
103 58 2
121 122 67
131 257 76
185 219 35
107 281 19
218 94 87
122 156 62
81 162 61
83 175 46
208 132 -4
245 287 90
256 224 27
170 234 90
184 279 73
180 83 22
123 177 2
175 88 17
104 264 25
243 130 5
81 177 10
19 156 30
112 52 45
265 270 21
128 221 89
139 233 83
7 298 92
97 72 24
257 222 45
120 72 18
143 167 44
87 21 20
182 21 61
261 136 63
141 259 39
104 259 2
176 161 83
265 227 11
1 0 80
100 263 10
55 106 -4
207 156 8
182 90 32
84 162 8
119 12 0
272 158 60
27 0 -5
177 30 25
296 160 72
14 27 65
190 123 38
197 292 20
59 79 30
223 181 67
272 193 68
60 53 88
59 127 57
37 38 90
79 80 12
260 234 12
15 219 -2
190 23 35
228 151 20
285 203 18
40 276 15
261 184 89
77 267 66
167 272 34
137 198 7
251 274 65
198 119 61
67 99 87
195 162 -1
203 238 54
39 171 55
249 214 7
35 257 76
77 174 56
76 63 60
232 147 54
150 110 54
230 222 32
282 27 -4
108 246 37
130 53 53
273 289 25
6 248 5
169 242 10
283 152 39
267 62 27
263 157 89
17 83 -3
153 179 65
229 35 24
156 252 84
195 169 18
8 276 23
151 1 25
276 245 14
