300 1800
232 131 60
268 271 59
41 280 57
82 141 49
49 271 93
243 8 64
208 165 91
83 26 -4
232 283 36
190 72 18
7 202 88
110 0 79
264 69 55
148 254 71
259 88 85
136 172 70
241 182 28
208 274 9
277 237 64
169 273 80
278 16 49
205 27 29
192 139 3
154 263 36
248 3 25
110 217 8
104 218 12
262 108 83
287 229 53
180 153 93
161 275 83
90 184 79
202 251 26
53 125 32
219 183 31
84 266 30
19 18 37
195 80 71
46 264 -5
201 66 37
6 215 22
61 142 14
298 259 50
151 35 48
243 215 39
275 30 49
100 128 14
43 158 20
286 4 88
206 129 73
201 275 57
99 89 37
18 138 67
135 192 52
8 104 58
248 174 18
270 173 94
41 198 7
43 182 87
211 215 46
233 280 17
80 271 54
94 80 72
150 214 41
266 22 43
78 40 31
132 229 8
294 63 13
56 121 17
133 176 67
96 250 72
207 295 -5
224 210 14
44 61 83
288 182 53
156 61 85
183 299 38
44 213 71
249 298 59
286 155 86
267 120 69
241 68 30
10 283 -1
248 267 76
86 224 88
38 206 21
30 265 39
121 291 87
251 108 91
225 202 54
294 2 57
38 7 60
223 136 -1
225 29 57
246 188 11
43 171 57
207 229 7
27 146 5
64 201 78
229 44 68
211 31 30
79 87 29
22 25 0
114 176 89
42 43 75
13 153 66
0 234 65
240 6 46
58 222 52
7 50 66
117 52 54
136 33 90
116 53 14
271 227 23
288 126 62
76 57 11
24 257 23
66 121 11
12 66 66
140 256 17
162 171 71
251 13 67
245 149 10
263 87 75
245 48 69
6 204 79
158 204 82
32 53 54
178 260 33
152 213 32
19 7 19
184 248 8
169 124 50
9 2 37
173 71 48
256 119 60
225 207 25
141 18 85
73 115 70
108 293 79
298 122 94
129 109 50
169 31 36
12 63 58
143 244 28
250 174 8
79 70 76
170 130 52
30 158 84
60 202 36
275 235 86
25 128 3
11 271 63
137 114 88
149 60 35
149 24 45
6 68 8
175 214 -1
9 194 69
155 37 28
285 174 38
120 158 82
13 156 87
16 144 -3
151 265 31
206 271 87
217 66 56
119 35 6
299 98 38
209 171 22
121 66 53
0 238 88
191 16 6
109 210 18
45 51 -4
1 285 34
274 249 71
247 256 26
35 51 3
191 272 -4
105 4 47
295 200 85
82 40 21
40 166 34
263 227 94
116 99 35
216 221 66
33 289 60
191 292 5
201 21 14
152 251 26
211 224 51
18 268 37
281 41 50
166 271 72
285 123 -1
123 68 51
218 104 82
9 131 -4
281 244 10
191 239 71
39 78 40
75 174 61
175 154 52
155 53 74
272 130 79
260 28 44
292 247 9
88 120 73
238 227 35
104 252 91
154 127 7
205 36 20
60 227 17
111 128 89
246 136 88
128 272 17
128 26 2
163 191 86
158 287 93
8 184 74
84 261 68
70 95 67
197 288 17
52 206 26
166 2 8
106 256 48
174 78 2
197 275 56
294 184 47
1 210 52
116 285 14
178 271 34
200 161 -5
258 40 18
218 177 89
100 108 76
9 264 73
195 278 50
162 237 43
57 160 21
275 253 53
282 9 62
80 292 -3
145 288 8
234 191 30
190 237 94
293 21 85
28 206 4
201 164 64
94 160 8
10 41 76
105 208 21
22 252 76
157 206 18
123 74 7
204 239 3
50 140 48
181 284 46
216 264 82
287 212 89
285 68 57
266 191 39
67 104 14
130 282 59
59 248 39
32 202 17
5 78 69
87 121 6
100 28 31
85 209 43
76 267 20
242 145 61
10 187 7
53 267 90
85 167 34
79 94 29
21 161 53
48 17 66
115 293 0
267 57 46
11 248 38
74 172 50
283 112 45
29 65 0
281 260 7
29 156 61
147 127 63
261 12 61
95 125 83
144 39 -1
83 66 75
147 45 61
264 147 93
92 102 42
267 116 34
294 95 21
290 1 80
36 67 5
219 209 70
32 148 -2
34 210 38
178 17 23
24 41 14
22 221 81
235 292 53
282 125 86
129 147 61
221 149 16
282 272 49
4 54 40
227 148 -3
143 32 39
17 268 58
253 75 7
109 279 0
145 93 13
53 256 53
119 136 68
175 281 60
271 261 35
163 111 79
281 280 65
294 287 5
170 250 74
274 201 15
42 207 93
134 49 15
34 11 69
136 126 15
242 197 94
137 79 86
238 201 82
102 203 61
60 41 78
148 171 38
245 162 -2
218 62 51
99 279 46
207 37 92
136 198 29
152 208 16
291 78 23
161 1 77
106 112 48
281 114 89
224 70 19
25 291 68
297 298 82
89 289 82
174 212 65
73 298 47
282 221 50
147 87 58
217 207 42
194 240 63
228 109 23
179 210 63
49 30 11
274 243 1
82 154 94
208 192 22
2 104 88
254 264 42
35 145 64
297 294 94
184 23 47
83 137 90
59 160 88
170 159 65
53 42 3
172 132 2
192 195 56
124 101 7
13 178 52
165 298 83
295 16 81
57 211 72
76 165 11
35 239 79
45 259 41
149 169 5
19 90 14
256 232 79
267 149 89
187 216 39
224 64 38
235 121 43
256 11 47
160 103 64
8 6 42
149 246 23
295 59 77
296 87 87
164 56 8
252 203 86
181 238 18
82 40 18
285 9 43
81 171 49
113 237 6
205 288 -1
32 185 28
115 244 58
264 221 5
133 120 9
173 222 59
51 222 11
299 181 81
175 111 42
291 150 89
171 12 60
269 288 93
294 246 78
246 260 20
93 61 24
136 201 10
143 168 26
295 224 19
32 73 31
248 105 32
105 223 86
124 133 0
93 14 33
208 183 90
234 15 25
180 230 41
80 273 46
1 122 35
273 143 28
76 29 94
86 169 56
86 23 65
78 45 26
213 45 5
94 199 5
261 181 1
207 0 63
107 294 39
220 181 70
25 19 73
189 217 83
82 51 48
8 46 14
224 266 65
239 256 91
38 280 27
178 20 71
140 264 73
255 237 7
120 111 75
182 144 92
26 158 81
80 30 87
80 249 62
161 287 52
118 89 7
95 228 56
229 242 -1
145 53 30
115 116 74
279 13 66
148 149 20
63 51 6
190 150 48
196 89 1
186 29 38
126 238 24
139 298 38
167 214 81
32 282 13
74 243 52
297 213 36
56 31 11
278 100 13
251 172 54
247 267 15
289 261 58
211 263 35
69 144 32
200 63 31
167 60 38
288 124 5
45 271 79
75 225 58
27 116 -3
85 99 84
74 113 3
291 267 67
244 77 44
189 146 39
261 156 66
246 8 5
263 233 29
247 58 17
222 57 60
250 31 67
256 53 60
148 70 44
114 140 37
2 68 45
84 276 14
128 154 70
39 244 59
67 56 86
13 55 43
233 104 -2
255 66 -3
14 73 62
251 119 15
243 45 71
148 151 21
42 46 11
183 268 88
32 235 5
292 174 66
75 60 -5
270 198 77
286 284 73
282 256 -2
157 22 76
119 127 74
67 201 -1
201 117 62
204 94 71
210 256 49
189 36 72
221 103 28
205 150 80
110 226 7
176 138 66
0 218 69
138 123 -5
147 180 51
270 77 7
66 140 78
239 188 21
198 186 37
265 75 94
154 129 57
9 219 57
269 117 28
263 254 28
153 104 84
109 76 90
274 235 24
206 84 64
120 168 74
109 55 63
192 199 38
248 142 30
90 256 38
43 53 26
165 222 20
180 172 -2
228 97 25
47 18 47
259 161 53
135 247 50
199 198 81
191 31 76
74 113 42
216 48 32
245 51 76
238 123 18
199 33 -4
19 13 67
163 192 18
182 197 74
40 184 27
285 290 29
65 181 23
139 89 18
240 124 75
85 158 -2
59 106 29
153 218 76
94 51 57
204 208 73
177 129 63
155 260 80
237 132 37
59 130 79
295 157 2
262 138 10
190 169 60
94 257 33
144 223 33
112 9 91
159 36 94
172 211 47
166 136 35
13 3 63
29 274 -3
62 248 79
29 195 38
121 293 87
228 145 13
168 206 37
86 262 34
250 5 33
32 272 19
248 116 14
181 280 48
175 285 42
226 77 60
265 290 1
159 68 34
104 253 80
17 282 91
59 269 5
90 109 74
136 154 32
223 251 53
124 109 19
259 288 68
74 237 84
270 294 13
216 71 1
12 97 61
226 15 12
177 196 64
248 276 47
206 185 12
73 265 87
113 294 91
8 79 61
132 87 36
67 288 2
132 13 -1
184 237 47
295 272 18
275 257 9
59 84 55
274 294 -3
214 22 62
149 132 26
141 174 9
267 218 18
130 11 1
145 271 16
297 96 83
116 19 15
239 248 68
28 207 33
270 189 72
156 202 4
74 249 75
273 232 91
179 156 51
151 57 84
35 149 2
132 241 84
253 74 77
178 150 75
117 139 64
235 215 89
80 298 3
286 90 54
101 99 79
79 242 71
253 289 59
91 214 14
219 35 3
214 254 42
253 275 51
267 291 74
251 177 44
255 16 70
228 161 20
212 246 67
167 144 37
198 28 67
79 165 69
127 162 30
35 132 46
287 192 12
244 41 52
205 298 45
51 158 42
94 145 61
201 159 47
205 236 2
53 244 84
153 30 -5
290 9 41
112 31 13
287 241 47
86 202 -3
91 281 15
137 193 45
191 130 87
32 21 44
255 196 14
238 213 72
218 257 79
33 130 67
214 26 78
247 124 76
173 3 74
146 17 70
248 286 84
279 7 26
170 18 74
210 124 42
82 295 3
292 97 93
187 124 7
157 45 7
6 27 81
197 86 94
64 244 22
202 235 65
15 243 -3
255 208 4
138 183 16
144 142 8
83 88 4
108 159 11
257 215 94
43 221 27
110 13 9
192 121 -1
67 107 51
46 167 39
31 83 83
197 49 64
81 246 14
164 85 42
218 87 54
139 239 64
283 39 3
149 59 79
152 123 14
42 153 57
27 234 37
99 30 37
35 116 35
297 125 69
206 202 90
242 98 57
115 162 42
107 198 4
234 134 65
4 110 73
55 273 66
275 190 61
137 38 66
86 281 75
165 32 91
224 22 44
164 279 28
37 73 22
136 118 39
252 209 60
53 164 -4
89 102 24
155 122 -5
184 236 6
218 157 42
49 216 85
216 24 26
107 26 6
10 148 20
175 38 68
40 222 22
227 188 22
34 19 5
54 31 76
266 174 51
7 51 61
197 164 84
126 160 79
275 231 55
142 74 81
229 9 70
213 4 3
135 143 -4
249 113 66
58 33 25
221 39 77
54 289 22
126 248 48
86 27 29
186 254 80
15 66 51
144 77 72
180 27 2
81 172 22
42 68 61
211 12 -2
66 158 37
242 131 58
185 267 53
221 8 93
61 240 57
122 54 30
24 203 34
3 47 0
147 209 46
54 10 19
115 219 82
136 112 90
59 51 64
90 145 4
270 18 62
215 214 63
166 100 58
137 290 56
108 23 88
283 62 55
191 20 70
83 4 53
209 83 48
12 208 7
261 243 65
275 255 27
269 194 0
193 78 74
44 89 89
239 211 65
53 10 50
2 282 88
246 38 10
99 129 55
285 78 81
199 102 94
129 133 70
246 7 92
53 3 85
275 0 28
58 197 49
21 104 30
253 78 67
119 108 48
241 4 52
88 230 29
48 142 48
243 241 89
59 36 35
104 275 -3
262 224 22
200 195 19
65 7 42
287 28 20
170 193 6
219 67 61
207 82 41
115 236 0
75 107 22
230 79 38
151 126 60
26 1 14
142 164 34
241 141 17
84 204 42
162 278 5
88 60 -3
9 111 29
273 192 51
27 29 61
226 286 52
41 113 6
122 137 51
104 42 77
0 85 44
273 120 21
89 7 85
243 105 45
80 288 79
116 108 81
248 177 92
68 165 88
198 204 56
210 40 37
269 84 4
267 286 45
79 84 -2
69 248 17
276 285 11
130 104 47
268 209 14
88 23 29
254 105 8
141 173 35
133 129 79
283 52 52
169 116 16
231 21 77
126 258 77
39 263 21
113 16 40
164 194 2
244 251 53
22 95 81
241 167 66
127 208 75
83 125 36
197 231 10
175 52 2
184 265 3
232 184 14
211 158 60
172 242 31
16 239 67
38 270 63
86 160 29
180 58 64
113 218 50
143 129 55
278 45 43
42 199 34
149 201 37
293 101 68
145 37 38
281 50 81
215 64 14
270 33 53
2 57 73
80 12 23
184 277 5
226 250 61
230 97 54
288 252 35
204 229 19
96 246 69
257 9 18
281 73 24
32 179 23
164 220 74
283 31 79
58 36 42
102 11 59
245 24 3
270 165 73
1 96 30
289 135 35
54 119 4
228 56 -5
62 131 18
198 164 75
231 81 57
73 20 2
283 145 62
172 244 94
250 130 18
151 33 25
239 196 28
274 85 7
7 76 52
195 44 0
170 166 39
204 58 92
185 226 36
281 52 76
101 52 71
117 37 1
163 63 59
164 93 13
122 105 49
4 153 -4
292 121 15
99 223 3
297 103 1
155 298 15
268 161 82
296 107 38
34 78 11
11 19 36
124 185 58
283 27 0
225 109 22
18 96 49
128 193 32
176 123 84
96 10 36
55 157 31
275 208 33
237 173 29
28 139 75
212 280 80
179 206 90
298 297 59
221 195 28
139 87 90
32 206 88
87 74 47
168 199 23
175 9 83
152 161 73
5 210 46
165 274 83
143 120 64
218 250 7
134 108 86
50 180 32
272 275 10
20 139 91
118 198 25
139 120 19
155 158 30
242 94 69
263 61 11
255 245 85
198 35 22
85 72 59
29 213 27
144 214 24
164 56 12
208 211 -4
243 242 55
279 66 27
64 147 48
79 278 40
55 0 64
296 262 30
63 110 50
146 74 66
44 253 54
9 191 -1
186 94 46
33 197 6
289 156 53
125 224 0
16 282 9
70 54 20
83 54 57
224 257 37
97 124 16
246 140 42
280 253 36
9 294 57
120 28 49
22 224 10
228 212 25
189 15 81
280 240 1
203 163 52
84 147 90
11 245 50
56 169 4
118 219 23
10 163 30
234 42 81
30 253 56
246 140 86
289 170 69
272 119 84
105 98 54
55 26 8
160 85 29
148 6 23
19 294 44
83 126 57
131 24 42
271 11 -3
251 88 12
236 73 44
286 117 36
202 156 54
31 152 9
58 87 74
226 44 5
256 197 94
239 208 24
211 113 16
194 126 81
271 114 92
273 108 14
286 142 65
271 7 57
78 220 49
166 71 81
176 35 43
64 238 79
84 91 0
290 231 78
186 230 4
261 85 61
103 6 87
244 138 32
139 206 77
148 280 18
60 125 60
76 108 7
77 284 76
130 44 38
30 196 73
161 50 9
196 231 -1
215 192 10
218 217 70
264 12 74
296 178 33
84 87 90
282 44 6
248 267 68
45 275 63
290 35 52
5 156 29
69 82 5
45 36 92
268 51 55
244 2 46
179 280 69
250 293 11
76 220 78
80 245 16
144 27 29
229 169 58
27 275 71
281 272 -1
205 247 49
194 34 78
135 268 22
199 148 32
222 69 90
225 41 53
233 26 7
42 94 77
158 116 -1
299 256 -4
139 216 72
82 110 -3
206 123 74
67 245 -3
105 18 53
90 79 40
54 182 17
253 28 28
184 208 85
11 47 72
297 182 19
249 205 15
129 145 94
150 79 4
10 14 73
140 216 0
7 25 41
223 179 41
224 205 69
71 127 88
207 31 9
221 20 71
71 114 57
45 74 82
165 45 23
255 26 25
250 244 74
132 234 37
297 145 58
228 245 17
85 194 32
291 160 39
45 252 25
267 149 63
47 42 -2
232 21 88
118 54 65
81 235 13
165 11 26
25 207 19
218 5 45
29 228 86
67 297 31
46 226 23
44 83 13
247 131 92
13 47 21
166 61 9
279 96 75
145 206 7
246 99 19
141 292 82
140 1 34
151 114 84
80 121 71
210 98 41
151 129 61
157 201 10
58 118 42
89 278 20
170 169 84
59 198 68
202 164 10
42 123 13
5 213 5
297 72 -4
177 28 -3
206 182 8
119 297 77
121 138 81
243 7 45
279 211 -2
270 198 20
15 270 5
56 38 86
147 259 20
53 236 8
208 295 22
140 49 48
68 30 10
38 122 70
226 18 62
42 3 17
67 92 28
92 57 61
80 110 17
0 257 25
43 95 44
280 85 -1
254 267 39
63 45 90
77 98 42
116 26 59
236 92 47
135 293 46
235 97 1
176 183 66
232 236 29
230 41 66
279 67 70
28 69 67
10 51 31
201 62 68
154 82 91
51 290 41
241 207 15
17 298 6
181 15 94
166 112 11
219 194 13
220 257 -1
163 72 64
283 7 54
218 287 47
164 173 65
109 177 26
69 232 64
207 53 7
260 134 89
251 67 67
168 192 46
132 29 40
130 96 62
128 253 47
162 28 56
226 271 -2
221 203 -5
170 66 8
5 165 13
24 284 84
136 254 36
48 260 62
284 285 70
82 283 72
213 56 84
102 239 14
93 210 4
90 105 19
236 192 65
207 238 89
105 292 6
203 201 78
136 231 15
221 287 55
143 42 92
249 149 73
224 124 75
238 266 27
172 32 46
268 46 46
55 8 20
294 263 76
111 48 5
72 230 70
73 48 26
222 61 75
205 211 44
65 248 77
78 125 55
167 262 53
220 292 41
49 51 -1
105 86 12
200 295 48
173 261 10
232 140 28
103 185 5
195 186 94
189 42 46
100 129 21
263 48 91
95 165 29
71 282 41
89 214 73
197 155 93
204 11 69
72 192 44
119 63 92
262 216 65
94 197 56
244 135 11
24 229 22
198 211 69
220 179 74
194 134 1
286 52 55
86 40 23
6 26 10
173 204 13
46 37 3
18 214 76
123 106 72
269 248 83
31 168 77
259 258 8
177 129 48
13 125 35
65 205 26
62 141 70
29 202 19
181 293 87
5 295 53
296 111 22
123 184 -2
96 16 76
267 227 69
267 161 84
111 184 32
137 260 17
140 258 60
46 110 57
283 126 90
155 136 19
282 199 50
213 82 34
270 108 74
140 106 57
37 205 57
43 17 56
253 233 88
242 206 41
85 196 20
276 151 31
244 48 30
157 52 70
134 8 6
149 65 87
52 44 62
192 278 49
279 198 -1
47 227 49
121 57 66
40 244 74
22 71 91
133 120 4
35 254 79
284 29 87
73 299 7
65 93 14
30 130 80
270 175 68
20 126 85
96 6 83
43 258 67
267 99 18
215 163 42
159 299 1
130 76 46
21 107 10
15 290 35
130 78 -2
226 105 44
79 281 70
132 133 58
193 52 24
272 225 10
211 177 24
185 83 39
130 215 -2
32 108 69
272 142 79
266 23 31
193 25 20
213 262 22
127 118 88
143 204 43
124 88 28
272 120 86
166 157 38
154 231 63
251 266 69
126 114 8
180 125 20
34 171 87
249 174 1
111 204 20
165 68 80
102 1 72
252 17 -1
98 1 37
210 206 44
111 239 89
282 235 44
202 167 0
270 289 86
153 218 59
168 210 34
202 225 44
211 51 89
274 196 14
212 53 67
286 168 23
15 47 23
244 37 61
69 33 88
191 245 72
104 265 4
265 207 62
199 254 66
110 97 53
183 228 33
154 29 84
50 38 87
157 222 92
210 146 21
243 133 83
35 56 57
166 273 37
9 195 0
236 113 10
177 71 32
89 233 92
138 290 86
60 75 47
214 53 90
33 251 38
37 154 7
48 129 63
246 211 3
210 113 37
246 157 -2
99 73 53
254 30 28
38 49 78
259 36 56
12 7 38
147 121 29
130 58 35
62 299 66
170 24 71
245 138 55
161 158 -2
243 222 64
178 87 51
286 143 4
129 123 85
12 201 5
144 55 71
255 264 42
35 61 21
5 61 75
108 34 69
110 228 18
57 275 36
161 237 55
32 186 63
11 197 69
120 33 28
28 272 47
281 161 82
164 122 75
271 74 73
20 96 4
156 87 19
263 233 70
46 53 88
97 75 78
98 183 0
51 187 -3
265 220 0
84 65 61
83 243 92
177 263 51
58 52 33
132 96 0
249 169 49
187 151 43
94 147 65
235 58 14
22 166 72
184 1 19
147 96 5
32 88 49
201 37 77
214 115 35
38 17 74
200 288 8
156 125 22
157 211 5
118 33 68
164 274 8
43 16 73
112 274 63
208 296 85
84 112 8
138 260 53
251 201 54
104 204 87
234 290 86
192 25 49
168 221 50
266 162 56
101 256 50
52 104 92
